iter	Passed	Remaining
0	163	163751
1	167	83635
2	172	57298
3	176	44032
4	181	36084
5	184	30579
6	189	26941
7	194	24080
8	197	21779
9	202	20049
10	207	18627
11	210	17369
12	214	16316
13	220	15512
14	224	14725
15	227	14002
16	231	13390
17	234	12806
18	238	12301
19	241	11830
20	245	11425
21	248	11038
22	251	10696
23	255	10401
24	259	10125
25	262	9847
26	266	9615
27	270	9373
28	272	9132
29	275	8896
30	277	8662
31	278	8428
32	280	8213
33	311	8847
34	312	8606
35	312	8378
36	313	8164
37	314	7963
38	315	7786
39	316	7605
40	317	7430
41	318	7262
42	319	7102
43	319	6949
44	321	6813
45	322	6679
46	322	6544
47	323	6415
48	324	6291
49	324	6170
50	325	6054
51	325	5942
52	326	5837
53	327	5735
54	328	5636
55	328	5539
56	329	5445
57	329	5355
58	330	5268
59	330	5184
60	331	5102
61	331	5022
62	332	4946
63	333	4872
64	333	4801
65	334	4731
66	334	4663
67	335	4597
68	335	4533
69	336	4471
70	337	4410
71	337	4351
72	338	4294
73	338	4238
74	339	4187
75	340	4143
76	341	4091
77	341	4041
78	342	3991
79	342	3943
80	343	3896
81	343	3850
82	344	3803
83	344	3759
84	345	3717
85	346	3679
86	347	3642
87	347	3604
88	348	3566
89	349	3529
90	349	3492
91	350	3457
92	351	3423
93	351	3389
94	352	3356
95	353	3324
96	353	3292
97	354	3259
98	354	3228
99	355	3197
100	355	3166
101	356	3136
102	356	3108
103	357	3080
104	358	3055
105	359	3031
106	360	3005
107	360	2979
108	361	2954
109	362	2930
110	362	2905
111	363	2880
112	363	2857
113	364	2834
114	365	2812
115	366	2789
116	366	2766
117	367	2744
118	367	2723
119	368	2701
120	369	2681
121	369	2660
122	370	2640
123	371	2621
124	371	2601
125	372	2582
126	372	2563
127	373	2544
128	374	2525
129	374	2506
130	375	2488
131	375	2470
132	376	2452
133	376	2434
134	377	2418
135	378	2401
136	378	2384
137	379	2367
138	379	2351
139	380	2335
140	380	2319
141	381	2303
142	381	2287
143	382	2273
144	382	2258
145	384	2250
146	385	2237
147	386	2223
148	386	2209
149	387	2195
150	388	2182
151	388	2168
152	389	2155
153	390	2145
154	391	2132
155	392	2121
156	392	2109
157	393	2096
158	394	2084
159	394	2072
160	395	2059
161	395	2047
162	396	2036
163	397	2025
164	397	2013
165	398	2001
166	399	1990
167	399	1979
168	400	1967
169	400	1956
170	401	1946
171	402	1935
172	402	1925
173	403	1916
174	404	1905
175	404	1895
176	405	1884
177	405	1874
178	406	1863
179	406	1853
180	407	1843
181	407	1833
182	408	1824
183	409	1815
184	409	1805
185	410	1796
186	411	1787
187	411	1778
188	412	1769
189	413	1760
190	413	1752
191	414	1743
192	415	1735
193	415	1727
194	416	1718
195	416	1709
196	417	1700
197	417	1692
198	418	1683
199	418	1675
200	419	1667
201	420	1659
202	420	1651
203	421	1642
204	421	1635
205	422	1628
206	423	1620
207	423	1613
208	424	1605
209	424	1597
210	425	1590
211	425	1582
212	426	1575
213	426	1567
214	427	1560
215	428	1556
216	429	1550
217	430	1543
218	430	1536
219	431	1529
220	432	1523
221	432	1517
222	433	1510
223	434	1503
224	434	1498
225	436	1493
226	436	1486
227	437	1480
228	438	1474
229	438	1468
230	439	1462
231	439	1456
232	440	1450
233	441	1444
234	441	1438
235	442	1432
236	442	1426
237	443	1419
238	443	1413
239	444	1407
240	445	1401
241	445	1395
242	446	1389
243	446	1384
244	447	1379
245	448	1373
246	448	1368
247	449	1362
248	449	1356
249	450	1351
250	450	1345
251	451	1339
252	452	1334
253	452	1329
254	453	1324
255	454	1319
256	454	1314
257	455	1309
258	455	1304
259	456	1299
260	457	1294
261	457	1289
262	458	1284
263	459	1279
264	460	1277
265	461	1272
266	461	1267
267	462	1262
268	462	1257
269	463	1252
270	463	1248
271	464	1243
272	465	1238
273	466	1235
274	466	1231
275	467	1227
276	468	1222
277	468	1218
278	469	1213
279	470	1208
280	470	1204
281	471	1199
282	471	1195
283	473	1192
284	473	1188
285	474	1184
286	474	1179
287	475	1175
288	475	1171
289	476	1166
290	477	1162
291	477	1157
292	478	1154
293	479	1151
294	480	1148
295	480	1143
296	481	1139
297	482	1135
298	482	1131
299	483	1127
300	483	1123
301	484	1119
302	485	1115
303	485	1112
304	486	1108
305	487	1104
306	487	1100
307	488	1096
308	488	1092
309	489	1088
310	489	1085
311	490	1081
312	491	1077
313	491	1074
314	492	1070
315	492	1066
316	493	1062
317	493	1059
318	494	1055
319	494	1051
320	495	1048
321	495	1044
322	496	1040
323	497	1037
324	498	1034
325	498	1030
326	499	1027
327	499	1023
328	500	1020
329	500	1016
330	501	1013
331	501	1009
332	502	1006
333	502	1002
334	503	999
335	504	996
336	504	992
337	505	989
338	505	986
339	506	982
